zpid,price,bedrooms,bathrooms,livingArea,lotAreaValue,yearBuilt,homeType,latitude,longitude,city,zipcode,zestimate,rentZestimate,daysOnZillow,has_zestimate,has_rent_zestimate
343024038,470900,4.0,3.0,2635.0,6050.484,2024.0,SINGLE_FAMILY,29.50909,-95.722244,Richmond,77469,469500.0,2650.0,4,1,1
28347499,199999,2.0,2.0,1228.0,14.2781,1969.0,CONDO,29.745636,-95.536064,Houston,77063,186000.0,1500.0,26,1,1
2081298380,309990,3.0,2.0,1596.0,6050.484,2024.0,SINGLE_FAMILY,29.512796,-95.80089,Richmond,77469,308700.0,1999.0,5,1,1
27540936,319000,4.0,2.0,2707.0,9766.152,1961.0,SINGLE_FAMILY,29.585045,-95.772514,Richmond,77469,300300.0,2695.0,148,1,1
351055133,406980,4.0,4.0,2548.0,6050.484,2024.0,SINGLE_FAMILY,29.508303,-95.730354,Rosenberg,77469,401500.0,2400.0,8,1,0
344000425,474990,5.0,5.0,3200.0,8219.772,2020.0,SINGLE_FAMILY,29.519938,-95.78425,Richmond,77469,455100.0,3296.0,89,1,1
2055958755,383990,5.0,3.0,2466.0,6050.484,2024.0,SINGLE_FAMILY,29.493887,-95.77486,Richmond,77469,374700.0,2564.0,52,1,1
349480182,370990,4.0,3.0,2199.0,6050.484,2024.0,SINGLE_FAMILY,29.506746,-95.76597,Rosenberg,77469,363300.0,2299.0,12,1,1
2076548922,1350000,6.0,7.0,5279.0,1.0,2024.0,SINGLE_FAMILY,29.538418,-95.71637,Richmond,77469,1289300.0,8363.0,36,1,1
245543172,479900,5.0,4.0,2754.0,7200.468,2020.0,SINGLE_FAMILY,29.533218,-95.75545,Rosenberg,77469,453600.0,2749.0,364,1,1
54640745,389900,4.0,4.0,2978.0,7409.556,2000.0,SINGLE_FAMILY,29.538578,-95.69983,Richmond,77469,368400.0,2802.0,249,1,1
27620469,240000,3.0,2.0,1532.0,7252.74,1978.0,SINGLE_FAMILY,29.542597,-95.69558,Richmond,77469,228700.0,1800.0,33,1,1
27544525,729000,4.0,4.0,3361.0,1.212,2000.0,SINGLE_FAMILY,29.525768,-95.704544,Richmond,77469,685900.0,4524.0,102,1,1
347096722,370990,4.0,3.0,2199.0,6050.484,2024.0,SINGLE_FAMILY,29.52839,-95.76655,Rosenberg,77469,366000.0,2500.0,42,1,1
80049388,475000,4.0,4.0,3665.0,7514.1,2009.0,SINGLE_FAMILY,29.568981,-95.71572,Richmond,77469,376400.0,3300.0,97,0,1
350972070,499000,4.0,4.0,2537.0,6285.708,2022.0,SINGLE_FAMILY,29.563332,-95.744385,Richmond,77469,376400.0,2400.0,1,0,0
245543173,379990,4.0,3.0,2450.0,7200.468,2020.0,SINGLE_FAMILY,29.533398,-95.756004,Rosenberg,77469,365400.0,2700.0,66,1,1
335688339,499000,4.0,3.0,2513.0,7261.452,2019.0,SINGLE_FAMILY,29.571959,-95.74127,Richmond,77469,482200.0,2700.0,53,1,1
122502037,650000,3.0,3.0,2855.0,10802.88,2014.0,SINGLE_FAMILY,29.562334,-95.7357,Richmond,77469,624400.0,3950.0,66,1,1
27620515,220000,3.0,2.0,1454.0,8777.34,1981.0,SINGLE_FAMILY,29.543669,-95.699,Richmond,77469,209300.0,1800.0,31,1,1
351191116,630900,4.0,4.0,3650.0,6050.484,2024.0,SINGLE_FAMILY,29.51271,-95.72244,Richmond,77469,376400.0,2400.0,64,0,0
54637939,374500,4.0,3.0,2901.0,8894.952,2001.0,SINGLE_FAMILY,29.544905,-95.70813,Richmond,77469,375200.0,2749.0,0,1,1
245543594,515000,4.0,3.0,2690.0,9151.956,2018.0,SINGLE_FAMILY,29.504461,-95.71441,Rosenberg,77469,510200.0,2763.0,7,1,1
